ListingMonth,host_total_listings,accommodates,bathrooms,bedrooms,beds,guests_included,minimum_nights,number_of_reviews,review_scores_rating,reviews_per_month,PricePerNight
3.5,1,6,1.5,3,3,4,2,153,100,3.79,190
2,1,5,1,2,2,1,3,46,96,2.11,89
2.5,22,4,1,2,2,1,1,3,100,3,501
5.6,2,4,1,1,1,2,32,12,100,1.52,104
3.6,596,6,1.5,2,4,1,2,16,99,3.27,399
3.1,0,2,1.5,1,1,1,1,44,99,6,42
6.2,33,6,1,1,4,2,1,88,97,5.7,108
2.4,2,12,3.5,5,6,8,1,81,95,3.02,170
6.1,896,2,1,1,1,2,2,20,95,0.98,132
1.8,4,1,1,3,1,1,1,47,93,2.3,48
3.7,3,10,1,2,6,4,2,54,96,6.07,99
6.1,896,6,2,3,3,6,2,4,90,0.23,192
0.9,20,6,2,3,3,1,1,12,88,2.54,502
2.1,1,4,1,1,2,2,1,136,99,6.57,91
4.3,2,4,1,1,1,2,1,158,98,6.64,99
8.5,1,2,1,0,1,1,2,19,99,1.6,76
4.1,3,12,4,4,4,8,2,102,97,3.44,182
3.6,2,10,1,4,5,8,2,41,90,2.62,131
5,2,4,1,1,1,1,32,2,100,0.2,98
5.7,6,8,2,3,5,5,2,37,99,3.48,247
1.2,1,2,1,0,1,2,1,7,93,0.57,85
5.7,1,3,1,1,1,2,2,64,96,0.95,151
2.9,1,4,1,0,2,2,1,215,96,6.41,116
3.3,1,4,1,1,2,1,1,18,98,5.45,42
0.6,1,4,1,0,2,4,2,1,80,0.19,202
6.1,2,3,1.5,1,2,2,1,20,94,0.49,60
3.8,9,11,3,4,7,4,1,35,100,1.92,298
7.2,69,8,2,2,8,2,2,36,94,2.71,116
2.4,2,6,1.5,3,3,6,2,89,98,3.33,94
5.6,1,4,1,1,2,2,1,215,98,3.96,52
1.3,569,4,1,2,2,1,1,6,93,3.53,61
0.8,0,2,1,1,1,2,2,8,95,1.11,90
0.6,2,5,1,2,2,1,2,9,73,1.33,83
2.3,3,4,1,1,0,1,1,7,89,0.94,130
6.1,896,4,1,1,2,2,2,7,91,1.89,132
5,1,4,1.5,1,2,2,5,3,100,0.08,209
2.2,58,6,2.5,4,4,8,1,18,89,2.24,252
6.6,1283,4,2,2,2,4,2,10,86,0.53,247
4.1,1,6,1,3,3,4,3,81,100,1.93,199
4.1,2,6,1,2,3,1,1,30,97,3.9,185
1.5,3,2,1,1,2,1,1,69,97,5.81,45
1.2,4,5,1,2,5,3,2,19,94,1.77,136
3.1,1,10,2,4,5,6,2,35,96,1.08,272
6.5,2,2,1,1,1,1,2,334,93,4.33,104
2.7,1,6,1,2,3,1,1,123,98,3.95,249
6,3,1,1,1,1,1,20,33,96,0.48,66
0.9,20,6,1,3,3,1,1,8,98,2.96,98
3.2,4,7,2,2,2,6,1,48,95,4.38,151
4.4,1,9,2,4,6,1,2,129,98,5.59,103
1.9,1,4,1,1,1,2,1,21,97,6.43,174
1,24,6,2,2,2,4,2,12,97,1.13,764
4.8,1,4,1,2,2,3,1,184,99,3.2,123
3.6,1,6,2.5,2,2,4,2,60,98,1.38,147
